,id,label
0,../../ava/train\780469.jpg,0.0
1,../../ava/train\498507.jpg,0.0
2,../../ava/train\296019.jpg,0.0
3,../../ava/train\441688.jpg,0.0
4,../../ava/train\300822.jpg,0.0
5,../../ava/train\200586.jpg,0.0
6,../../ava/train\127472.jpg,0.0
7,../../ava/train\529052.jpg,0.0
8,../../ava/train\52937.jpg,0.0
9,../../ava/train\413585.jpg,0.0
10,../../ava/train\376610.jpg,0.0
11,../../ava/train\101408.jpg,0.0
12,../../ava/train\858923.jpg,0.0
13,../../ava/train\556528.jpg,0.0
14,../../ava/train\267095.jpg,0.0
15,../../ava/train\80715.jpg,0.0
16,../../ava/train\912131.jpg,0.0
17,../../ava/train\400662.jpg,0.0
18,../../ava/train\402055.jpg,0.0
19,../../ava/train\894.jpg,0.0
20,../../ava/train\558272.jpg,0.0
21,../../ava/train\879542.jpg,0.0
22,../../ava/train\69546.jpg,0.0
23,../../ava/train\65748.jpg,0.0
24,../../ava/train\707395.jpg,0.0
25,../../ava/train\126308.jpg,0.0
26,../../ava/train\626296.jpg,0.0
27,../../ava/train\414533.jpg,0.0
28,../../ava/train\397555.jpg,0.0
29,../../ava/train\861045.jpg,0.0
30,../../ava/train\812979.jpg,0.0
31,../../ava/train\704462.jpg,0.0
32,../../ava/train\511482.jpg,0.0
33,../../ava/train\750781.jpg,0.0
34,../../ava/train\113663.jpg,0.0
35,../../ava/train\524206.jpg,0.0
36,../../ava/train\330841.jpg,0.0
37,../../ava/train\256411.jpg,0.0
38,../../ava/train\460855.jpg,0.0
39,../../ava/train\823003.jpg,0.0
40,../../ava/train\375722.jpg,0.0
41,../../ava/train\52376.jpg,0.0
42,../../ava/train\723747.jpg,0.0
43,../../ava/train\874909.jpg,0.0
44,../../ava/train\682600.jpg,0.0
45,../../ava/train\121911.jpg,0.0
46,../../ava/train\685379.jpg,0.0
47,../../ava/train\857239.jpg,0.0
48,../../ava/train\556761.jpg,0.0
49,../../ava/train\110067.jpg,0.0
50,../../ava/train\631470.jpg,0.0
51,../../ava/train\159682.jpg,0.0
52,../../ava/train\5550.jpg,0.0
53,../../ava/train\12865.jpg,0.0
54,../../ava/train\751677.jpg,0.0
55,../../ava/train\4585.jpg,0.0
56,../../ava/train\502397.jpg,0.0
57,../../ava/train\201388.jpg,0.0
58,../../ava/train\638113.jpg,0.0
59,../../ava/train\388698.jpg,0.0
60,../../ava/train\80270.jpg,0.0
61,../../ava/train\484401.jpg,0.0
62,../../ava/train\927679.jpg,0.0
63,../../ava/train\422506.jpg,0.0
64,../../ava/train\522106.jpg,0.0
65,../../ava/train\101375.jpg,0.0
66,../../ava/train\76291.jpg,0.0
67,../../ava/train\150827.jpg,0.0
68,../../ava/train\317236.jpg,0.0
69,../../ava/train\816871.jpg,0.0
70,../../ava/train\560645.jpg,0.0
71,../../ava/train\1901.jpg,0.0
72,../../ava/train\291765.jpg,0.0
73,../../ava/train\167350.jpg,0.0
74,../../ava/train\49356.jpg,0.0
75,../../ava/train\939176.jpg,0.0
76,../../ava/train\722575.jpg,0.0
77,../../ava/train\324689.jpg,0.0
78,../../ava/train\655020.jpg,0.0
79,../../ava/train\294580.jpg,0.0
80,../../ava/train\426551.jpg,0.0
81,../../ava/train\135555.jpg,0.0
82,../../ava/train\372459.jpg,0.0
83,../../ava/train\673603.jpg,0.0
84,../../ava/train\47816.jpg,0.0
85,../../ava/train\17904.jpg,0.0
86,../../ava/train\925093.jpg,0.0
87,../../ava/train\768445.jpg,0.0
88,../../ava/train\772350.jpg,0.0
89,../../ava/train\289044.jpg,0.0
90,../../ava/train\26433.jpg,0.0
91,../../ava/train\517172.jpg,0.0
92,../../ava/train\912635.jpg,0.0
93,../../ava/train\413195.jpg,0.0
94,../../ava/train\563523.jpg,0.0
95,../../ava/train\607979.jpg,0.0
96,../../ava/train\878457.jpg,0.0
97,../../ava/train\252144.jpg,0.0
98,../../ava/train\778530.jpg,0.0
99,../../ava/train\357245.jpg,0.0
100,../../ava/train\53074.jpg,0.0
101,../../ava/train\800004.jpg,0.0
102,../../ava/train\340.jpg,0.0
103,../../ava/train\780134.jpg,0.0
104,../../ava/train\805008.jpg,0.0
105,../../ava/train\333948.jpg,0.0
106,../../ava/train\893128.jpg,0.0
107,../../ava/train\456318.jpg,0.0
108,../../ava/train\647945.jpg,0.0
109,../../ava/train\27163.jpg,0.0
110,../../ava/train\343354.jpg,0.0
111,../../ava/train\908174.jpg,0.0
112,../../ava/train\339467.jpg,0.0
113,../../ava/train\458943.jpg,0.0
114,../../ava/train\916362.jpg,0.0
115,../../ava/train\100389.jpg,0.0
116,../../ava/train\212949.jpg,0.0
117,../../ava/train\835502.jpg,0.0
118,../../ava/train\914579.jpg,0.0
119,../../ava/train\475109.jpg,0.0
120,../../ava/train\833746.jpg,0.0
121,../../ava/train\761113.jpg,0.0
122,../../ava/train\618440.jpg,0.0
123,../../ava/train\922403.jpg,0.0
124,../../ava/train\897632.jpg,0.0
125,../../ava/train\389768.jpg,0.0
126,../../ava/train\386319.jpg,0.0
127,../../ava/train\160552.jpg,0.0
128,../../ava/train\257999.jpg,0.0
129,../../ava/train\298619.jpg,0.0
130,../../ava/train\787317.jpg,0.0
131,../../ava/train\376530.jpg,0.0
132,../../ava/train\57279.jpg,0.0
133,../../ava/train\111867.jpg,0.0
134,../../ava/train\216002.jpg,0.0
135,../../ava/train\507312.jpg,0.0
136,../../ava/train\587328.jpg,0.0
137,../../ava/train\18903.jpg,0.0
138,../../ava/train\290935.jpg,0.0
139,../../ava/train\681511.jpg,0.0
140,../../ava/train\713658.jpg,0.0
141,../../ava/train\62852.jpg,0.0
