,id_a,id_b,label
0,../../ava/subset/2195.jpg,../../ava/subset/1725.jpg,1.0
1,../../ava/subset/1593.jpg,../../ava/subset/3042.jpg,0.0
2,../../ava/subset/1725.jpg,../../ava/subset/983.jpg,1.0
3,../../ava/subset/1155.jpg,../../ava/subset/2101.jpg,0.0
4,../../ava/subset/1384.jpg,../../ava/subset/2188.jpg,0.0
5,../../ava/subset/3299.jpg,../../ava/subset/2101.jpg,1.0
6,../../ava/subset/3299.jpg,../../ava/subset/2782.jpg,1.0
7,../../ava/subset/1593.jpg,../../ava/subset/2059.jpg,0.0
8,../../ava/subset/922.jpg,../../ava/subset/1155.jpg,1.0
9,../../ava/subset/1327.jpg,../../ava/subset/3280.jpg,0.0
10,../../ava/subset/3022.jpg,../../ava/subset/2362.jpg,0.0
11,../../ava/subset/2547.jpg,../../ava/subset/3280.jpg,1.0
12,../../ava/subset/983.jpg,../../ava/subset/1695.jpg,0.0
13,../../ava/subset/3042.jpg,../../ava/subset/2362.jpg,0.0
14,../../ava/subset/2188.jpg,../../ava/subset/2129.jpg,0.0
15,../../ava/subset/1384.jpg,../../ava/subset/3280.jpg,0.0
16,../../ava/subset/2101.jpg,../../ava/subset/922.jpg,0.0
17,../../ava/subset/3124.jpg,../../ava/subset/2210.jpg,1.0
18,../../ava/subset/1651.jpg,../../ava/subset/1629.jpg,1.0
19,../../ava/subset/1725.jpg,../../ava/subset/1155.jpg,1.0
20,../../ava/subset/2129.jpg,../../ava/subset/1779.jpg,0.0
21,../../ava/subset/576.jpg,../../ava/subset/3387.jpg,0.0
22,../../ava/subset/500.jpg,../../ava/subset/1328.jpg,1.0
23,../../ava/subset/1124.jpg,../../ava/subset/203.jpg,0.0
24,../../ava/subset/1124.jpg,../../ava/subset/1341.jpg,0.0
25,../../ava/subset/558.jpg,../../ava/subset/648.jpg,1.0
26,../../ava/subset/624.jpg,../../ava/subset/3267.jpg,1.0
27,../../ava/subset/483.jpg,../../ava/subset/648.jpg,0.0
28,../../ava/subset/1328.jpg,../../ava/subset/575.jpg,0.0
29,../../ava/subset/500.jpg,../../ava/subset/3267.jpg,1.0
30,../../ava/subset/540.jpg,../../ava/subset/2595.jpg,0.0
31,../../ava/subset/1330.jpg,../../ava/subset/558.jpg,1.0
32,../../ava/subset/558.jpg,../../ava/subset/500.jpg,1.0
33,../../ava/subset/1328.jpg,../../ava/subset/500.jpg,0.0
34,../../ava/subset/1314.jpg,../../ava/subset/3267.jpg,1.0
35,../../ava/subset/1218.jpg,../../ava/subset/1052.jpg,1.0
36,../../ava/subset/493.jpg,../../ava/subset/3387.jpg,0.0
37,../../ava/subset/1218.jpg,../../ava/subset/1330.jpg,1.0
38,../../ava/subset/2141.jpg,../../ava/subset/648.jpg,0.0
39,../../ava/subset/1124.jpg,../../ava/subset/1587.jpg,1.0
40,../../ava/subset/2166.jpg,../../ava/subset/1869.jpg,0.0
41,../../ava/subset/1757.jpg,../../ava/subset/1052.jpg,0.0
42,../../ava/subset/1591.jpg,../../ava/subset/2101.jpg,0.0
43,../../ava/subset/3253.jpg,../../ava/subset/2172.jpg,1.0
44,../../ava/subset/2188.jpg,../../ava/subset/2374.jpg,1.0
45,../../ava/subset/2184.jpg,../../ava/subset/3062.jpg,0.0
46,../../ava/subset/2082.jpg,../../ava/subset/2104.jpg,1.0
47,../../ava/subset/2668.jpg,../../ava/subset/759.jpg,1.0
48,../../ava/subset/1757.jpg,../../ava/subset/1869.jpg,0.0
49,../../ava/subset/2210.jpg,../../ava/subset/2184.jpg,0.0
50,../../ava/subset/2155.jpg,../../ava/subset/2263.jpg,0.0
51,../../ava/subset/3192.jpg,../../ava/subset/2668.jpg,0.0
52,../../ava/subset/3253.jpg,../../ava/subset/1855.jpg,1.0
53,../../ava/subset/1328.jpg,../../ava/subset/759.jpg,1.0
54,../../ava/subset/1757.jpg,../../ava/subset/2209.jpg,0.0
55,../../ava/subset/368.jpg,../../ava/subset/1314.jpg,1.0
56,../../ava/subset/2209.jpg,../../ava/subset/2184.jpg,0.0
57,../../ava/subset/2155.jpg,../../ava/subset/2101.jpg,0.0
58,../../ava/subset/1341.jpg,../../ava/subset/1955.jpg,1.0
59,../../ava/subset/1615.jpg,../../ava/subset/3075.jpg,0.0
60,../../ava/subset/3219.jpg,../../ava/subset/2576.jpg,0.0
61,../../ava/subset/2104.jpg,../../ava/subset/548.jpg,1.0
62,../../ava/subset/2083.jpg,../../ava/subset/2576.jpg,1.0
63,../../ava/subset/1869.jpg,../../ava/subset/2101.jpg,1.0
64,../../ava/subset/2083.jpg,../../ava/subset/202.jpg,1.0
65,../../ava/subset/2668.jpg,../../ava/subset/2115.jpg,1.0
66,../../ava/subset/2093.jpg,../../ava/subset/991.jpg,0.0
67,../../ava/subset/368.jpg,../../ava/subset/2576.jpg,1.0
68,../../ava/subset/2166.jpg,../../ava/subset/2145.jpg,0.0
69,../../ava/subset/2195.jpg,../../ava/subset/1685.jpg,1.0
70,../../ava/subset/3219.jpg,../../ava/subset/2209.jpg,0.0
71,../../ava/subset/2210.jpg,../../ava/subset/2188.jpg,1.0
72,../../ava/subset/2166.jpg,../../ava/subset/2101.jpg,0.0
73,../../ava/subset/2129.jpg,../../ava/subset/2184.jpg,0.0
74,../../ava/subset/2206.jpg,../../ava/subset/2042.jpg,0.0
75,../../ava/subset/2213.jpg,../../ava/subset/368.jpg,0.0
76,../../ava/subset/2209.jpg,../../ava/subset/3390.jpg,0.0
77,../../ava/subset/2172.jpg,../../ava/subset/1527.jpg,0.0
78,../../ava/subset/1942.jpg,../../ava/subset/1615.jpg,1.0
79,../../ava/subset/3219.jpg,../../ava/subset/2083.jpg,0.0
80,../../ava/subset/3075.jpg,../../ava/subset/2159.jpg,1.0
81,../../ava/subset/1615.jpg,../../ava/subset/1869.jpg,0.0
82,../../ava/subset/2555.jpg,../../ava/subset/1341.jpg,1.0
83,../../ava/subset/1855.jpg,../../ava/subset/1955.jpg,0.0
84,../../ava/subset/759.jpg,../../ava/subset/2145.jpg,0.0
85,../../ava/subset/2206.jpg,../../ava/subset/2104.jpg,0.0
86,../../ava/subset/2555.jpg,../../ava/subset/1783.jpg,1.0
87,../../ava/subset/1314.jpg,../../ava/subset/724.jpg,1.0
88,../../ava/subset/1926.jpg,../../ava/subset/3413.jpg,0.0
89,../../ava/subset/3390.jpg,../../ava/subset/368.jpg,0.0
90,../../ava/subset/3192.jpg,../../ava/subset/3219.jpg,1.0
91,../../ava/subset/2626.jpg,../../ava/subset/3267.jpg,1.0
92,../../ava/subset/1129.jpg,../../ava/subset/3267.jpg,1.0
93,../../ava/subset/2766.jpg,../../ava/subset/2732.jpg,1.0
94,../../ava/subset/1621.jpg,../../ava/subset/3267.jpg,0.0
95,../../ava/subset/2732.jpg,../../ava/subset/3338.jpg,0.0
